timestamp,sinr,usedRB,sumSinr,runNumber
3.006,22.5803,1,22.5803,35
3.011,36.9158,1,36.9158,35
3.02,22.5803,1,22.5803,35
3.105,22.5803,1,22.5803,35
3.111,22.5803,1,22.5803,35
3.116,35.0561,2,70.1122,35
3.125,22.5803,1,22.5803,35
3.131,23.9583,3,71.8749,35
3.136,36.9158,1,36.9158,35
3.236,34.5344,4,138.138,35
3.245,22.5803,1,22.5803,35
3.251,22.9682,115,2641.35,35
3.252,22.9682,115,2641.35,35
3.253,22.9682,115,2641.35,35
3.254,23.3672,36,841.218,35
3.259,20.4872,115,2356.03,35
3.268,35.4203,3,106.261,35
3.349,22.5803,1,22.5803,35
3.355,22.9682,115,2641.35,35
3.356,22.9682,115,2641.35,35
3.357,22.9682,115,2641.35,35
3.358,22.9682,115,2641.35,35
3.359,23.1348,80,1850.79,35
3.365,35.4203,3,106.261,35
3.449,22.5803,1,22.5803,35
3.455,22.9682,115,2641.35,35
3.456,22.9682,115,2641.35,35
3.457,22.9682,115,2641.35,35
3.458,23.4566,58,1360.48,35
3.463,20.4872,115,2356.03,35
3.469,20.4872,115,2356.03,35
3.474,35.4203,3,106.261,35
3.549,22.5803,1,22.5803,35
3.555,22.9682,115,2641.35,35
3.556,23.0252,104,2394.62,35
3.562,35.4203,3,106.261,35
3.649,22.5803,1,22.5803,35
3.655,23.6176,31,732.147,35
3.66,35.4203,3,106.261,35
3.749,22.5803,1,22.5803,35
3.755,23.3909,51,1192.94,35
3.761,35.4203,3,106.261,35
3.849,22.5803,1,22.5803,35
3.855,22.9682,115,2641.35,35
3.856,22.9682,115,2641.35,35
3.857,24.0482,26,625.252,35
3.868,35.4203,3,106.261,35
3.949,22.5803,1,22.5803,35
3.955,24.6296,18,443.333,35
3.962,35.4203,3,106.261,35
4.049,25.4104,1,25.4104,35
4.055,23.4071,103,2410.93,35
4.061,23.6008,103,2430.88,35
4.066,23.9769,3,71.9306,35
4.072,35.4417,3,106.325,35
4.149,25.4104,1,25.4104,35
4.155,25.0853,128,3210.92,35
4.156,25.0853,128,3210.92,35
4.157,25.0853,128,3210.92,35
4.158,25.0853,128,3210.92,35
4.159,26.0125,28,728.351,35
4.165,32.9201,3,98.7602,35
4.249,25.4104,1,25.4104,35
4.255,25.1505,121,3043.22,35
4.261,32.9201,3,98.7602,35
4.349,25.4104,1,25.4104,35
4.355,25.0853,128,3210.92,35
4.356,25.0853,128,3210.92,35
4.357,25.0853,128,3210.92,35
4.358,26.5589,20,531.177,35
4.367,32.9201,3,98.7602,35
