timestamp,arrivalTime,ueAppAddress,ueAppPort,car,recv_packet_size(B),uplink_delay(s),Queueing_delay(s),processing_delay(s),idframe,nbSentMsg,runNumber,sizeOfQueue
3.2630078812,3.2630078812,10.0.1.106,4000,car[0],65527,0.0090053124,0,0.00366763,1,0,9,1
3.3590071964,3.3590071964,10.0.1.106,4000,car[0],11454,0.0010046276,0,0.00131711,2,1,9,1
3.4670078812,3.4670078812,10.0.1.106,4000,car[0],65527,0.0090053124,0,0.00110181,3,2,9,1
3.5580020868,3.5580020868,10.0.1.106,4000,car[0],748,0.0000006764,0,0.00331456,4,3,9,1
3.6670078812,3.6670078812,10.0.1.106,4000,car[0],65527,0.0090053124,0,0.00306438,5,4,9,1
3.7590061036,3.7590061036,10.0.1.106,4000,car[0],10151,0.0010035348,0,0.00226883,6,5,9,1
3.8580042844,3.8580042844,10.0.1.106,4000,car[0],2020,0.0000017156,0,0.00215583,7,6,9,1
3.9610025092,3.9610025092,10.0.1.106,4000,car[0],20164,0.0029999404,0,0.00265511,8,7,9,1
4.0610067268,4.0610067268,10.0.1.106,4000,car[0],24187,0.003004158,0,0.00171026,9,8,9,1
4.1600046164,4.1600046164,10.0.1.106,4000,car[0],15755,0.0020020476,0,0.00369305,10,9,9,1
4.26000607,4.26000607,10.0.1.106,4000,car[0],17509,0.0020035012,0,0.0046893,11,10,9,1
4.36000851,4.36000851,10.0.1.106,4000,car[0],20433,0.0020059412,0,9.50238e-05,12,11,9,1
4.465005254,4.465005254,10.0.1.106,4000,car[0],50529,0.0070026852,0,0.00157318,13,12,9,1
4.5580069116,4.5580069116,10.0.1.106,4000,car[0],5178,0.0000043428,0,0.00319293,14,13,9,1
4.6610052612,4.6610052612,10.0.1.106,4000,car[0],22418,0.0030026924,0,0.00877127,15,14,9,1
4.7660091772,4.7660091772,10.0.1.106,4000,car[0],61164,0.0080066084,0,0.00155882,16,15,9,1
4.8670066468,4.8670066468,10.0.1.106,4000,car[0],65527,0.009004078,0,0.00105543,17,16,9,1
4.9640064628,4.9640064628,10.0.1.106,4000,car[0],44577,0.006003894,0,0.00109801,18,17,9,1
5.0760077468,5.0760077468,10.0.1.106,4000,car[0],37239,0.012005178,0,0.000202357,19,18,9,1
5.1580039044,5.1580039044,10.0.1.106,4000,car[0],1545,0.0000013356,0,0.0034853,20,19,9,1
5.2610034548,5.2610034548,10.0.1.106,4000,car[0],16118,0.003000886,0,0.00497974,21,20,9,1
5.3700054124,5.3700054124,10.0.1.106,4000,car[0],65527,0.0120028436,0,0.00309585,22,21,9,1
5.4660053364,5.4660053364,10.0.1.106,4000,car[0],44712,0.0080027676,0,0.00123747,23,22,9,1
5.5630046628,5.5630046628,10.0.1.106,4000,car[0],27653,0.005002094,0,0.00146965,24,23,9,1
5.661002754,5.661002754,10.0.1.106,4000,car[0],15826,0.0030001852,0,0.00262428,25,24,9,1
5.7580057508,5.7580057508,10.0.1.106,4000,car[0],3790,0.000003182,0,0.0018426,26,25,9,1
5.860001194,5.860001194,10.0.1.106,4000,car[0],10736,0.0019986252,0,0.000804689,27,26,9,1
5.960005158,5.960005158,10.0.1.106,4000,car[0],13409,0.0020025892,0,0.00307765,28,27,9,1
