frequency,numerology,nb_vehicle,rb,edge_cpu,rep,runnumber
700MHz,0,1,50,133740,0,0
700MHz,0,1,50,133740,1,1
700MHz,0,1,50,133740,2,2
700MHz,0,1,50,147600,0,9
700MHz,0,1,50,147600,1,10
700MHz,0,1,50,147600,2,11
700MHz,0,1,50,176170,0,18
700MHz,0,1,50,176170,1,19
700MHz,0,1,50,176170,2,20
700MHz,0,1,50,221720,0,27
700MHz,0,1,50,221720,1,28
700MHz,0,1,50,221720,2,29
700MHz,0,1,50,298190,0,36
700MHz,0,1,50,298190,1,37
700MHz,0,1,50,298190,2,38
700MHz,0,1,100,133740,0,3
700MHz,0,1,100,133740,1,4
700MHz,0,1,100,133740,2,5
700MHz,0,1,100,147600,0,12
700MHz,0,1,100,147600,1,13
700MHz,0,1,100,147600,2,14
700MHz,0,1,100,176170,0,21
700MHz,0,1,100,176170,1,22
700MHz,0,1,100,176170,2,23
700MHz,0,1,100,221720,0,30
700MHz,0,1,100,221720,1,31
700MHz,0,1,100,221720,2,32
700MHz,0,1,100,298190,0,39
700MHz,0,1,100,298190,1,40
700MHz,0,1,100,298190,2,41
700MHz,0,1,150,133740,0,6
700MHz,0,1,150,133740,1,7
700MHz,0,1,150,133740,2,8
700MHz,0,1,150,147600,0,15
700MHz,0,1,150,147600,1,16
700MHz,0,1,150,147600,2,17
700MHz,0,1,150,176170,0,24
700MHz,0,1,150,176170,1,25
700MHz,0,1,150,176170,2,26
700MHz,0,1,150,221720,0,33
700MHz,0,1,150,221720,1,34
700MHz,0,1,150,221720,2,35
700MHz,0,1,150,298190,0,42
700MHz,0,1,150,298190,1,43
700MHz,0,1,150,298190,2,44
